Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles
2017-01-21,"Indianapolis, IN",6700,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.indystar.com/story/news/2017/01/21/thousands-hoosiers-join-massive-womens-march-washington/96882844/,2
2017-01-21,"Dallas, TX",6350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.dallasnews.com/news/dallas/2017/01/21/watch-dallas-womens-march-kicks-downtown,1
2017-01-21,"Eureka, CA",6350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.northcoastjournal.com/humboldt/the-largest-march-in-eureka-history/Content?oid=4314924,1
2017-01-21,"Park City, UT",6350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.sltrib.com/home/4853488-155/womens-march-on-utah-capitol-will,1
2017-01-21,"Santa Barbara, CA",6350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.independent.com/news/2017/jan/21/santa-barbaras-massive-womens-march/,1
2017-01-21,"San Marcos, CA",6150,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.sandiegouniontribune.com/communities/north-county/sd-no-san-marcos-march-20170119-story.html,1
2017-01-21,"Walnut Creek, CA",6150,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://eastcountytoday.net/thousands-gather-in-walnut-creek-for-contra-costa-womens-march/,1
2017-01-21,"Asbury Park, NJ",6000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.app.com/story/news/politics/2017/01/21/womens-march-asbury-park/96684400/,2
2017-01-21,"Providence, RI",5900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://wpri.com/2017/01/21/anti-trump-protest-to-take-place-saturday-afternoon-at-state-house/,1
2017-01-21,"West Palm Beach, FL",5900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.palmbeachpost.com/news/local/thousands-turn-out-west-palm-for-women-rally-against-trump/GURHjHOiaBFtDfODkqg0fM/,1
